user_id,recs
210.0,"['4063', '7054', '24455', '9041', '1195', '11617', '2993', '15451', '3455', '9367']"
211.0,"['9989', '11111', '23283', '1689', '2001']"
213.0,"['20507', '10793', '16498', '3457', '14713', '21105', '6045', '3588', '15809', '3092']"
214.0,"['8407', '5958', '8841', '5114', '14741', '19815', '30276', '2001']"
215.0,['10620']
216.0,"['22319', '4898', '11757', '1535']"
217.0,"['5114', '1121', '20', '481', '1117', '431', '199', '5681', '1686', '20159']"
218.0,"['27899', '22319', '16498', '8074', '11757']"
219.0,"['10408', '2904', '15809', '1575', '6746', '9253', '934', '3783', '7311', '1210']"
220.0,[]
221.0,[]
222.0,"['19815', '15583', '22199']"
224.0,[]
225.0,"['11771', '4224', '11013', '10620', '10321', '9989', '4898', '6707', '6547']"
227.0,['431']
228.0,"['22199', '29803', '2025', '6746', '1535', '14741', '14467', '13601', '14075', '11741']"
230.0,[]
231.0,"['20507', '1535', '7054', '16498', '14513', '14813', '16918', '2251', '4224', '7472']"
232.0,"['17729', '8630', '25157', '10079', '28999', '8525', '28121', '21431', '9041']"
233.0,"['20507', '10620', '1535', '8525', '2904', '849', '21881', '18897', '10080', '14741']"
234.0,"['2251', '164', '90', '96', '237', '2581', '93', '467', '81']"
235.0,"['18897', '9253', '13601', '22535', '2001', '11771', '199', '14227', '10620', '9919']"
236.0,"['934', '6746', '11741', '10793', '9253', '31043', '11111', '2167', '4181']"
239.0,"['6547', '1818', '16498', '9919', '1535', '3588']"
240.0,"['9756', '28891', '18679', '31964', '14349', '6746', '5114', '16894', '22319', '1']"
241.0,"['11757', '6547', '1818', '813', '3588']"
242.0,"['5114', '18679', '11111', '3588']"
243.0,"['7054', '4898', '20']"
244.0,"['1535', '12365', '10521', '9756', '19815', '8074', '16067', '11757']"
245.0,"['7054', '11757', '14741', '11887', '10110', '11785', '12189', '17895', '8769', '18095']"
246.0,"['4752', '14289', '4722', '4224', '853']"
247.0,"['2001', '6', '237', '226', '1535', '317', '2904', '223', '813']"
248.0,"['934', '8841', '79', '2993', '4214', '4224', '14741']"
249.0,"['1535', '121', '2904', '1482', '223']"
250.0,"['13655', '16706', '11111', '11577']"
252.0,"['896', '502', '121', '906', '11757']"
253.0,"['11013', '199', '4752', '3457', '6045', '14289', '2236', '18153', '2167', '6547']"
254.0,[]
255.0,"['28223', '22319', '14513', '20507', '16498', '1889', '1535']"
256.0,"['5277', '7590', '13367', '487', '12291', '8675', '8407', '22877', '20031', '2993']"
258.0,['6707']
259.0,"['11597', '849', '4382', '13601']"
260.0,['16498']
261.0,"['11597', '15689', '3712', '10620', '11319', '8937', '9330', '356', '1691', '6512']"
262.0,"['578', '226', '199', '572', '416', '33', '1', '47']"
263.0,"['22535', '11061', '10620', '19815', '8074', '11771', '9513', '21881']"
264.0,['9989']
265.0,['4898']
266.0,"['14741', '523', '11757', '10620', '9253', '4224']"
267.0,"['226', '469', '196', '59', '63', '2167', '1535', '849', '195']"
268.0,"['8525', '13161', '4224', '14741', '19815', '15809', '14227', '14749', '13367', '15583']"
269.0,"['6675', '2889', '4835', '6702', '16498', '405', '226', '889', '6746', '5081']"
270.0,"['10620', '30276', '27899', '22199', '20507', '269', '21881', '23755', '6573', '27631']"
271.0,"['31637', '5114', '10719', '9617', '8525', '6547', '11757', '10080', '1117', '18153']"
272.0,"['11757', '21881', '9041', '2001', '225', '6702', '11759', '28999', '7088', '6547']"
273.0,"['1575', '28497', '22199', '28999', '25157', '22319', '22297', '4224', '18897', '22877']"
274.0,"['10087', '2025', '6702', '10620', '9969', '1818', '27899', '22319', '20', '16498']"
275.0,[]
276.0,"['30503', '20583', '22199', '14513', '31043', '28223', '30276', '6547', '7724', '10030']"
277.0,"['379', '467', '71', '199', '47', '2001', '54']"
278.0,"['9253', '13125', '23283']"
279.0,"['1195', '11499', '2787', '355', '6547', '10790', '2966', '3712', '1840', '1575']"
280.0,"['5114', '2025', '28497', '18679', '14345', '30503', '10087', '31859', '9919', '22319']"
281.0,"['30276', '30503', '9919', '269', '27899', '2025', '28121', '16498']"
282.0,"['22147', '13663', '7054', '18897', '19815', '355', '13367', '15583', '8074', '3455']"
284.0,"['11757', '1535']"
285.0,"['1195', '14967', '10719', '14813', '20', '9989', '3455']"
286.0,"['6702', '20']"
288.0,"['17247', '14513', '26243', '28121', '10620', '31859', '22877', '11933', '20507', '25013']"
289.0,"['4224', '355', '3229', '62', '5958', '7148', '4063', '7817', '2926', '4999']"
290.0,"['5680', '226', '1575', '3457', '530', '1535', '45', '205', '190']"
291.0,[]
292.0,"['2904', '9919', '1575', '1519']"
293.0,"['11597', '3784', '6746', '14741', '8769', '3785', '1818', '15809', '9989', '2167']"
295.0,"['10080', '8525', '2927', '16067', '10719', '14289', '355', '18897', '14967', '2129']"
296.0,"['16498', '11633', '813', '6746', '22535', '20']"
297.0,"['10686', '1535', '14713', '9919', '9136', '16894', '7054']"
298.0,"['22319', '26243', '27899', '10087', '10620', '11061', '28977', '223']"
300.0,"['13367', '14813', '10719', '18247', '226', '3503', '5958', '3229', '6201', '14199']"
301.0,"['16498', '21405', '22729', '6956', '9253', '4224', '12291', '28121', '13759', '5680']"
302.0,"['12189', '7791', '10165']"
303.0,"['5114', '16592', '29803', '10080', '28677', '18247', '24703', '9041', '11759', '16498']"
304.0,"['3210', '149', '3092', '5902']"
305.0,"['11111', '11887', '16498', '6547']"
306.0,"['27899', '22199', '30276', '16498', '22319', '22535', '20507']"
307.0,[]
308.0,['232']
309.0,"['23755', '28497', '20', '30276', '28121', '28907', '22199']"
310.0,"['18153', '11633', '11617', '10719', '15809', '8074', '22535']"
311.0,"['1482', '1535', '9919', '5530']"
312.0,"['12859', '4155', '9513', '263', '16498', '1575', '5258', '22535', '13601', '1686']"
314.0,"['10719', '23273', '1195', '11757', '8074', '5114', '10793', '13759', '22535', '22729']"
315.0,"['22729', '22535', '20507', '23321', '16498', '30544', '20785', '8277', '9367', '9936']"
316.0,"['1575', '22319', '21995', '6045', '14227', '20507', '9919', '4081', '6746', '23289']"
317.0,"['13659', '14467', '10793', '17895', '9253', '13367', '121', '2025', '1889', '14075']"
318.0,[]
319.0,"['19815', '15809', '10793', '9041', '18277', '20787', '16498', '9367', '5958', '6880']"
320.0,"['6922', '11757', '14289', '8675', '13601', '10080', '849', '12445', '4181', '934']"
321.0,"['23233', '15451', '19163', '13161', '1195', '21405', '10079', '14833', '7088', '10578']"
322.0,"['226', '1575', '17265', '16498', '4224', '9756', '11759', '18153', '12189']"
323.0,['5680']
324.0,"['199', '10162', '10620', '2593', '2236', '2025', '6746', '853', '11757', '5114']"
325.0,"['3588', '17265', '10620', '11111', '9919', '121', '28171', '14345', '1575', '24833']"
326.0,"['11617', '22535', '17729', '1535', '28999', '23847', '4214', '8841', '13601', '10110']"
327.0,"['1575', '934', '121', '2593', '3783', '2025']"
328.0,"['3784', '1']"
329.0,"['934', '1889', '5114', '2904', '1575', '2001', '2025', '10620', '3588', '6547']"
330.0,"['6045', '4224', '9656', '2034', '3457']"
331.0,"['5081', '11597', '1535', '9756', '9919']"
332.0,"['6707', '16498', '20507', '10589', '4835']"
334.0,[]
335.0,"['5114', '20', '269']"
336.0,"['9989', '13601', '11111', '437', '1575', '1943', '3167', '12189', '2167', '1535']"
337.0,"['10408', '853', '9989', '9656', '14741', '7054', '18897', '2034', '13759', '10620']"
338.0,"['11933', '23847', '24703', '15583', '7088', '14749', '13367', '25157', '20507', '7817']"
339.0,"['889', '2025', '205', '33', '467', '44', '2001', '1210', '1117', '317']"
340.0,"['9756', '3588']"
341.0,"['10408', '23847', '9656', '20507', '5341', '16918', '849', '30276', '3782', '13125']"
343.0,"['16498', '269', '2904', '205']"
345.0,"['10793', '5114', '894', '4835', '1686', '14345', '8247', '762', '14837', '897']"
346.0,[]
348.0,"['2167', '16592', '6045', '1535', '11757', '15085', '11111', '7674', '11771', '3470']"
349.0,"['16894', '11061', '11771', '269', '813', '2904', '21881', '11111', '10087']"
350.0,"['14741', '1535', '6547', '11111']"
351.0,['11111']
352.0,"['10087', '2025', '43', '22199', '14719', '6547', '5081', '28121', '16524']"
353.0,"['894', '20', '1535', '986', '1526', '4224', '528', '594', '4437', '2001']"
354.0,"['5081', '11597', '9989', '15225', '849', '5680']"
356.0,['4898']
357.0,"['4898', '6880', '6746', '3588', '2025', '853', '9919', '4224', '121']"
358.0,"['18153', '22199', '23273', '14813', '2167', '10719', '18247', '8074', '11111', '28121']"
359.0,"['79', '6201', '9367', '5781', '8074', '3229', '1840', '5958', '8424', '8277']"
360.0,[]
361.0,"['849', '177', '10161', '5530', '793', '4835', '16498', '2889', '2034', '1699']"
363.0,"['777', '2001', '5114', '47', '6547', '1943', '245', '6', '9253', '237']"
364.0,"['22535', '9253', '8074', '9919', '1535', '8841', '6547', '11757', '11617', '15583']"
365.0,"['232', '741', '243', '4898', '317', '1535', '6045', '861', '874', '121']"
366.0,"['11741', '30503', '5114', '20507', '10620', '2904', '23281', '1535', '10418', '6746']"
367.0,"['7088', '10087', '25397', '20787', '355', '11757', '25157', '22199', '22877', '18277']"
368.0,"['11741', '8246', '225', '2472', '813', '223', '4437', '3588', '460', '2001']"
369.0,"['1195', '2889', '1686', '8841', '11617', '3712', '8074', '1840', '6880', '8407']"
370.0,"['22535', '22319', '226', '7724', '20507', '121', '14467', '14353', '4898', '9756']"
371.0,"['1818', '986', '199', '901', '14513', '906', '902', '6702', '898', '893']"
372.0,"['14813', '28497']"
373.0,"['16894', '18897', '14513', '9989', '11757', '11111', '4181', '813', '10087', '13601']"
375.0,"['4155', '21881', '6325', '269']"
376.0,"['31964', '31043', '10620', '11757', '11111', '20', '16498', '22199', '30276', '23281']"
377.0,"['22319', '11013', '14289', '6045', '16498', '12189', '9919', '11111', '6746', '7054']"
379.0,"['8525', '5958', '10790', '3229', '6324', '10719', '2494', '28121', '13367', '5277']"
380.0,[]
381.0,"['21881', '11617', '9919', '20507', '5114', '22199', '6702', '11757', '1195', '9041']"
382.0,"['199', '2001', '2025']"
383.0,[]
384.0,"['9989', '10087', '457', '5630', '33', '437', '47', '6880', '43', '205']"
385.0,"['121', '6880', '5114', '23283', '13601', '24439', '14227', '22535', '15417', '22789']"
387.0,"['10087', '11741', '356', '269', '6547', '8769', '20', '5680', '10793', '1686']"
389.0,"['2904', '1575', '121', '20', '3588']"
390.0,"['10620', '8769', '22199', '1535', '2904', '18139', '269', '20507', '3588', '9253']"
391.0,"['28223', '9756', '11111', '9989', '523', '6746', '13601', '16498', '27899', '22319']"
392.0,"['899', '898', '903', '223', '5258', '905', '902', '6746', '4898', '6702']"
393.0,"['25157', '20785', '19369', '26243', '22199', '16011', '20787', '22319', '7088', '18277']"
394.0,['853']
395.0,"['461', '463', '2107', '2251', '1575', '121', '2904', '11061', '6880', '136']"
396.0,"['6707', '10620', '10161', '8795', '523', '431', '199', '3784', '22319', '3588']"
397.0,[]
398.0,"['4186', '8086', '237', '10793', '2581', '18277', '18893', '94', '889', '226']"
400.0,"['6746', '2167', '9253', '20', '226']"
401.0,"['11757', '13759', '11741', '10793']"
403.0,"['6746', '2025', '467', '2001', '1575']"
404.0,"['11757', '8074', '16498', '813', '1535', '18679']"
405.0,"['7054', '6347', '6547', '10719', '8675', '8516', '15809', '9919', '14345', '14741']"
406.0,"['22319', '2593', '3782', '1889', '934', '19']"
407.0,"['14749', '14967']"
408.0,[]
409.0,"['9756', '17895', '5680', '13659', '13759', '14227', '14813', '9289', '11757', '10495']"
410.0,"['22147', '5680', '4224', '14741', '14813', '813', '19221', '19815', '223', '20159']"
411.0,"['9253', '1535', '1575', '790', '1943', '523', '1', '6746', '2593', '5081']"
412.0,[]
413.0,"['4722', '7054']"
415.0,"['3470', '5630', '6438', '781', '1366', '780', '1369', '6045', '2513', '5348']"
416.0,"['10067', '986', '5114', '813', '225', '902', '985', '2472', '936', '11757']"
417.0,"['4224', '904', '20', '903', '898', '906', '897', '902', '905', '14837']"
418.0,"['21033', '14345', '8841', '11617', '28623', '19815', '22199', '20507', '29803', '6880']"
419.0,"['18679', '1889', '6547', '14345', '15809', '1535', '31964', '28171', '4224', '6746']"
420.0,"['5205', '4280', '5680', '66', '5204', '6573', '2025', '1689', '164', '2167']"
421.0,"['15451', '9181', '13663', '15583', '14967', '8841', '8525', '2167', '14199', '11597']"
422.0,"['853', '120']"
423.0,"['23233', '18897', '11597', '17729', '16706', '22877', '8841', '6547', '8516', '5081']"
424.0,[]
425.0,"['16498', '20507', '269', '9919']"
426.0,"['30276', '21881', '22199']"
427.0,"['6702', '6547', '269']"
428.0,"['9656', '6702', '14227', '8425', '16498', '457', '11111', '853', '2025', '7054']"
430.0,"['16916', '20583', '10620', '10408', '464', '15323', '14513', '9919', '431', '14227']"
431.0,"['28121', '10110', '12293', '16498', '4224']"
432.0,[]
433.0,"['8630', '19163', '14199', '15225', '13659', '10719', '15315', '19369', '13367', '15583']"
434.0,"['2034', '1222', '6045', '849', '164', '9656', '5680', '853']"
435.0,"['8074', '17074', '11757', '19221', '18897', '14345', '10790', '9253', '16498', '1195']"
436.0,"['20', '5678', '6895']"
437.0,"['578', '199']"
438.0,"['10080', '28025', '8769', '10719', '9756', '23273', '7054', '11785', '6213', '11179']"
439.0,"['205', '8074', '1519', '4280', '16498']"
440.0,[]
441.0,"['27899', '22319', '11111', '2025', '1535', '1818']"
443.0,"['18897', '9041', '1535', '19163', '10079', '25159', '3588', '22297', '6347', '8407']"
444.0,"['6547', '22535', '19815', '13759', '18277', '17265', '15451', '1535', '7593', '26243']"
445.0,"['2251', '80', '2001', '2759']"
446.0,"['11757', '18115', '25157', '15689', '5114', '269']"
447.0,"['1535', '9963', '1482', '1363', '136', '121', '4224', '1887', '2171', '6895']"
448.0,"['10495', '849', '8769', '5680', '11285', '6347', '7791']"
449.0,"['4282', '3783', '5205', '2593', '2025', '22319', '10087', '5114', '23283']"
450.0,[]
451.0,"['512', '16498', '4081', '6045', '21995', '3731', '853', '1689', '4224', '120']"
452.0,"['14513', '6547', '9756', '10087', '11741', '18153', '23273']"
453.0,"['20507', '21881', '27899', '19815', '10620']"
454.0,"['1535', '6746', '14227', '4898', '9989', '4181', '226', '10162', '18153', '3457']"
455.0,"['1887', '934', '1689', '232', '5680']"
456.0,"['9989', '19815', '28223', '22199', '11771', '24415', '6547', '14467', '22535', '1535']"
458.0,"['6746', '10620', '5114']"
459.0,"['23281', '20785', '5114', '10087', '10163', '9756', '28701', '9253']"
460.0,"['857', '223', '30', '11741', '6594', '154', '889', '6547', '10087', '4898']"
461.0,"['11617', '22319', '355', '21881', '23273', '4181', '14813', '18671', '22729', '6880']"
462.0,"['9041', '28121', '10578', '14741', '15809', '6547', '1575', '13161', '8074', '10087']"
463.0,"['1562', '7054', '4898', '4752', '3470']"
465.0,['530']
466.0,"['23755', '2001', '30503', '27833', '23199', '205', '30276', '20507', '6746', '16894']"
467.0,"['4898', '11285']"
468.0,"['19815', '21881', '11757', '22199', '16498', '28907']"
469.0,"['14467', '777', '2001', '13601', '10163', '3588']"
470.0,[]
471.0,"['5114', '20', '11061', '8074', '22319', '3588', '10620', '14345', '270']"
473.0,[]
475.0,"['6045', '14227', '1562', '4224', '11013', '120', '249', '5262', '22319', '325']"
476.0,[]
477.0,"['8675', '11597', '25159', '20507', '11757', '15689', '11111', '8769', '10790', '13601']"
479.0,"['4437', '2472', '121', '6702', '16498', '14513', '2144']"
481.0,"['8425', '226', '7724', '6880']"
482.0,"['8516', '1689', '15225', '20507', '6347', '14813', '8769', '3455', '14749', '11499']"
483.0,[]
485.0,"['18115', '14713', '23755', '14513', '11757', '4835', '12049', '7054', '11633', '22145']"
487.0,"['4654', '1889', '849', '853', '2904', '6547', '1689', '1887', '11111', '2001']"
488.0,"['6547', '849', '14741', '5341', '2966', '4224', '20785', '73', '205', '13759']"
489.0,"['199', '226', '3588', '9253', '2001', '6547', '16498']"
490.0,"['2167', '2236', '4181', '6547', '431']"
492.0,"['10080', '6547', '11759', '10719', '11757', '10620', '8074', '23755', '30276', '11597']"
493.0,"['1122', '1121', '1117', '1118', '4793', '20']"
494.0,"['4382', '25013', '2236', '18153', '14813', '4181', '22535', '7311', '578', '23277']"
495.0,"['22535', '17265', '30276', '6702', '4063', '15451', '7088', '24703', '18115', '22319']"
496.0,"['5526', '2201', '1526']"
497.0,"['1818', '225', '1686', '2889', '6547', '6987', '2581', '4835', '1575', '269']"
498.0,"['5252', '465', '2020', '3848', '462', '464', '4155']"
500.0,"['23277', '23847', '23273', '17895', '28171', '28677', '28999', '20507', '16067', '22147']"
501.0,"['5114', '263', '27899', '8074', '11061', '6547', '19815', '1575', '12859', '14345']"
502.0,"['11111', '4752']"
503.0,"['2025', '17265', '21881', '33', '11757', '226', '5114', '12115', '3588', '1575']"
504.0,"['4722', '11887', '14289', '9656', '14227', '16498', '7054', '2034', '9919']"
505.0,"['6880', '22319', '20507', '8516', '19815', '8074', '6547', '8841', '2167', '14813']"
506.0,"['4224', '22199']"
507.0,"['8676', '13659', '8675', '15809', '16706', '8841', '20507', '2926', '14749', '5680']"
508.0,"['31859', '22729', '20507', '13759', '14813', '22199', '8841', '11285', '10793', '17549']"
510.0,"['12355', '11887', '4224', '5680', '585', '199', '2236', '2167', '1033']"
511.0,"['8769', '8074', '4224', '8424', '9756', '121', '3457', '1723', '4752', '8407']"
512.0,"['10321', '4224', '23673', '14713', '15605', '9656']"
